Component Description,QTY,Ref Des,Mfg P/N #,Manufacturer,Distributor P/N #
"Non-Polarized Capacitor, 10uF, SMD_0805_2012Metric","6","C1,C15,C19,C2,C3,C4","","",""
"Non-Polarized Capacitor, 4.7uF, SMD_1206_3216Metric","2","C10,C9","","",""
"Non-Polarized Capacitor, 18pF, SMD_0402_1005Metric","2","C11,C12","","",""
"Non-Polarized Capacitor, 12.5pF, SMD_0402_1005Metric","2","C13,C14","","",""
"Non-Polarized Capacitor, 100nF, SMD_0402_1005Metric","9","C16,C18,C20,C21,C22,C5,C6,C7,C8","","",""
"Non-Polarized Capacitor, 2.2pF, SMD_0402_1005Metric","1","C17","","",""
", SOT-666","1","D1","USBLC6-2P6","Texas Instruments Inc.",""
"Diode, DO-214AC_SMA","1","D2","SS14","Slkor(SLKORMICRO Elec.)",""
"Switching Diode, SOD-123_L2.7-W1.6-LS3.7-FD","1","D3","1N4148W-E3-18","VISHAY(威世)",""
"USB C, 24-pin Right Angle SMD/TH","1","J1","USB4105-GF-A","GTC",""
"Connector, 2-pin Through-Hole","1","J2","B2B-PH-K-S(LF)(SN)","JST Sales America",""
"Connector, Surface Mount 50Ω","1","J3","U.FL-R-SMT-1(10)","Hirose Electric Co Ltd",""
"Pin Headers, HDR-SMD_6P-P1.27-V-M-R2-C3-S1.27-LS5.5","1","J4","20021121-00006C4LF","Amphenol",""
"Connector, SHDR8W66P0X254_1X8_2032X572X1024P","1","J5","640456-8","TE Connectivity",""
"Wire To Board / Wire To Wire Connector, CONN-SMD_2P-P2.50_A2502AWV-02-F1CA-R-X","1","J6","2.54-2P-LT","CAX(创都)",""
"Inductor, 4.7nH, SMD_MAPI-4020","1","L1","","",""
"LED","2","LED1,LED2","","",""
"Buzzer","1","LS1","MLT-5020","Huaneng",""
"Bipolar Transistors - BJT, SC-75-3_L1.6-W0.8-P1.00-LS1.6-BR","1","Q1","MMBT3904TT1G","onsemi(安森美)",""
"Resistor, 2kΩ, SMD_0603_1608Metric","1","R1","","",""
"Resistor, 5.1kΩ, SMD_0603_1608Metric","2","R6,R7","","",""
"Resistor, 0Ω, SMD_0603_1608Metric","2","R10,R9","","",""
"Resistor, 1kΩ, SMD_0603_1608Metric","5","R11,R12,R17,R2,R3","","",""
"Resistor, 10kΩ, SMD_0603_1608Metric","5","R13,R16,R4,R5,R8","","",""
"Resistor, 4.7kΩ, SMD_0603_1608Metric","2","R14,R15","","",""
"Switch, 6.3x6x7.3mm","1","SW1","B3FS-1050P","OMRON",""
"","7","TP1,TP2,TP3,TP4,TP5,TP6,TP7","","",""
"Microcontroller, 73-VFQFN","1","U1","NRF52840-QIAA-R","Nordic Semiconductor ASA",""
", QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","1","U2","SX1262IMLTRT","",""
"Integrated Circuit, SOT-25","1","U3","AP2112K-3.3TRG1","https://www.diodes.com/assets/Datasheets/AP2112.pdf",""
"Integrated Circuit, SOT-23-5","1","U4","MCP73831T-2ACI/OT","Microchip Technology",""
", SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","1","U5","LTC4412MPS6#TRPBF","ADI(亚德诺)",""
"Integrated Circuit","1","U6","DRV2605LDGSR","Texas Instruments",""
"Motion Sensors - Accelerometers, LGA-12_L2.0-W2.0-P0.50-BL","2","U7,U8","LIS2DH12TR","ST(意法半导体)",""
"Oscillator, NX2016SA_NDK","1","Y1","NX2016SA-32MHZ-EXS00A-CS06654","",""
"Oscillator, 2-SMD","1","Y2","ABS07-32.768KHZ-T","Abracon LLC",""
"Temperature Compensated Crystal Oscillators (TCXO), OSC-SMD_4P-L2.5-W2.0-BL_7L-XXXXXXX","1","Y3","X1G0042110003","EPSON(爱普生)",""
