Item #,Ref Des,Qty,Manufacturer,Mfg Part #,Description / Value,Package,Type,Your Instructions / Notes
"1","C1,C15,C19,C2,C3,C4","6","","","Non-Polarized Capacitor, 10uF, SMD_0805_2012Metric","","",""
"2","C10,C9","2","","","Non-Polarized Capacitor, 4.7uF, SMD_1206_3216Metric","","",""
"3","C11,C12","2","","","Non-Polarized Capacitor, 18pF, SMD_0402_1005Metric","","",""
"4","C13,C14","2","","","Non-Polarized Capacitor, 12.5pF, SMD_0402_1005Metric","","",""
"5","C16,C18,C20,C21,C22,C5,C6,C7,C8","9","","","Non-Polarized Capacitor, 100nF, SMD_0402_1005Metric","","",""
"6","C17","1","","","Non-Polarized Capacitor, 2.2pF, SMD_0402_1005Metric","","",""
"7","D1","1","Texas Instruments Inc.","USBLC6-2P6",", SOT-666","SOT-666","",""
"8","D2","1","Slkor(SLKORMICRO Elec.)","SS14","Diode, DO-214AC_SMA","","",""
"9","D3","1","VISHAY(威世)","1N4148W-E3-18","Switching Diode, SOD-123_L2.7-W1.6-LS3.7-FD","SOD-123_L2.7-W1.6-LS3.7-FD","",""
"10","J1","1","GTC","USB4105-GF-A","USB C, 24-pin Right Angle SMD/TH","","",""
"11","J2","1","JST Sales America","B2B-PH-K-S(LF)(SN)","Connector, 2-pin Through-Hole","","",""
"12","J3","1","Hirose Electric Co Ltd","U.FL-R-SMT-1(10)","Connector, Surface Mount 50Ω","","",""
"13","J4","1","Amphenol","20021121-00006C4LF","Pin Headers, HDR-SMD_6P-P1.27-V-M-R2-C3-S1.27-LS5.5","HDR-SMD_6P-P1.27-V-M-R2-C3-S1.27-LS5.5","",""
"14","J5","1","TE Connectivity","640456-8","Connector, SHDR8W66P0X254_1X8_2032X572X1024P","SHDR8W66P0X254_1X8_2032X572X1024P","",""
"15","J6","1","CAX(创都)","2.54-2P-LT","Wire To Board / Wire To Wire Connector, CONN-SMD_2P-P2.50_A2502AWV-02-F1CA-R-X","CONN-SMD_2P-P2.50_A2502AWV-02-F1CA-R-X","",""
"16","L1","1","","","Inductor, 4.7nH, SMD_MAPI-4020","","",""
"17","LED1,LED2","2","","","LED","","",""
"18","LS1","1","Huaneng","MLT-5020","Buzzer","","",""
"19","Q1","1","onsemi(安森美)","MMBT3904TT1G","Bipolar Transistors - BJT, SC-75-3_L1.6-W0.8-P1.00-LS1.6-BR","SC-75-3_L1.6-W0.8-P1.00-LS1.6-BR","",""
"20","R1","1","","","Resistor, 2kΩ, SMD_0603_1608Metric","","",""
"21","R6,R7","2","","","Resistor, 5.1kΩ, SMD_0603_1608Metric","","",""
"22","R10,R9","2","","","Resistor, 0Ω, SMD_0603_1608Metric","","",""
"23","R11,R12,R17,R2,R3","5","","","Resistor, 1kΩ, SMD_0603_1608Metric","","",""
"24","R13,R16,R4,R5,R8","5","","","Resistor, 10kΩ, SMD_0603_1608Metric","","",""
"25","R14,R15","2","","","Resistor, 4.7kΩ, SMD_0603_1608Metric","","",""
"26","SW1","1","OMRON","B3FS-1050P","Switch, 6.3x6x7.3mm","","",""
"27","TP1,TP2,TP3,TP4,TP5,TP6,TP7","7","","","","","",""
"28","U1","1","Nordic Semiconductor ASA","NRF52840-QIAA-R","Microcontroller, 73-VFQFN","","",""
"29","U2","1","","SX1262IMLTRT",", QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","",""
"30","U3","1","https://www.diodes.com/assets/Datasheets/AP2112.pdf","AP2112K-3.3TRG1","Integrated Circuit, SOT-25","","",""
"31","U4","1","Microchip Technology","MCP73831T-2ACI/OT","Integrated Circuit, SOT-23-5","","",""
"32","U5","1","ADI(亚德诺)","LTC4412MPS6#TRPBF",", SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","",""
"33","U6","1","Texas Instruments","DRV2605LDGSR","Integrated Circuit","","",""
"34","U7,U8","2","ST(意法半导体)","LIS2DH12TR","Motion Sensors - Accelerometers, LGA-12_L2.0-W2.0-P0.50-BL","LGA-12_L2.0-W2.0-P0.50-BL","",""
"35","Y1","1","","NX2016SA-32MHZ-EXS00A-CS06654","Oscillator, NX2016SA_NDK","NX2016SA_NDK","",""
"36","Y2","1","Abracon LLC","ABS07-32.768KHZ-T","Oscillator, 2-SMD","","",""
"37","Y3","1","EPSON(爱普生)","X1G0042110003","Temperature Compensated Crystal Oscillators (TCXO), OSC-SMD_4P-L2.5-W2.0-BL_7L-XXXXXXX","OSC-SMD_4P-L2.5-W2.0-BL_7L-XXXXXXX","",""
