Reference designators,Quantity,MPN,Manufacturer,Part description,Value,SPN,Supplier,Package
"C1,C15,C19,C2,C3,C4","6","","","Non-Polarized Capacitor, 10uF, SMD_0805_2012Metric","10uF","","",""
"C10,C9","2","","","Non-Polarized Capacitor, 4.7uF, SMD_1206_3216Metric","4.7uF","","",""
"C11,C12","2","","","Non-Polarized Capacitor, 18pF, SMD_0402_1005Metric","18pF","","",""
"C13,C14","2","","","Non-Polarized Capacitor, 12.5pF, SMD_0402_1005Metric","12.5pF","","",""
"C16,C18,C20,C21,C22,C5,C6,C7,C8","9","","","Non-Polarized Capacitor, 100nF, SMD_0402_1005Metric","100nF","","",""
"C17","1","","","Non-Polarized Capacitor, 2.2pF, SMD_0402_1005Metric","2.2pF","","",""
"D1","1","USBLC6-2P6","Texas Instruments Inc.",", SOT-666","","","","SOT-666"
"D2","1","SS14","Slkor(SLKORMICRO Elec.)","Diode, DO-214AC_SMA","","","",""
"D3","1","1N4148W-E3-18","VISHAY(威世)","Switching Diode, SOD-123_L2.7-W1.6-LS3.7-FD","","","","SOD-123_L2.7-W1.6-LS3.7-FD"
"J1","1","USB4105-GF-A","GTC","USB C, 24-pin Right Angle SMD/TH","","","",""
"J2","1","B2B-PH-K-S(LF)(SN)","JST Sales America","Connector, 2-pin Through-Hole","","","",""
"J3","1","U.FL-R-SMT-1(10)","Hirose Electric Co Ltd","Connector, Surface Mount 50Ω","","","",""
"J4","1","20021121-00006C4LF","Amphenol","Pin Headers, HDR-SMD_6P-P1.27-V-M-R2-C3-S1.27-LS5.5","","","","HDR-SMD_6P-P1.27-V-M-R2-C3-S1.27-LS5.5"
"J5","1","640456-8","TE Connectivity","Connector, SHDR8W66P0X254_1X8_2032X572X1024P","","","","SHDR8W66P0X254_1X8_2032X572X1024P"
"J6","1","2.54-2P-LT","CAX(创都)","Wire To Board / Wire To Wire Connector, CONN-SMD_2P-P2.50_A2502AWV-02-F1CA-R-X","","","","CONN-SMD_2P-P2.50_A2502AWV-02-F1CA-R-X"
"L1","1","","","Inductor, 4.7nH, SMD_MAPI-4020","4.7nH","","",""
"LED1,LED2","2","","","LED","","","",""
"LS1","1","MLT-5020","Huaneng","Buzzer","","","",""
"Q1","1","MMBT3904TT1G","onsemi(安森美)","Bipolar Transistors - BJT, SC-75-3_L1.6-W0.8-P1.00-LS1.6-BR","","","","SC-75-3_L1.6-W0.8-P1.00-LS1.6-BR"
"R1","1","","","Resistor, 2kΩ, SMD_0603_1608Metric","2kΩ","","",""
"R6,R7","2","","","Resistor, 5.1kΩ, SMD_0603_1608Metric","5.1kΩ","","",""
"R10,R9","2","","","Resistor, 0Ω, SMD_0603_1608Metric","0Ω","","",""
"R11,R12,R17,R2,R3","5","","","Resistor, 1kΩ, SMD_0603_1608Metric","1kΩ","","",""
"R13,R16,R4,R5,R8","5","","","Resistor, 10kΩ, SMD_0603_1608Metric","10kΩ","","",""
"R14,R15","2","","","Resistor, 4.7kΩ, SMD_0603_1608Metric","4.7kΩ","","",""
"SW1","1","B3FS-1050P","OMRON","Switch, 6.3x6x7.3mm","","","",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7","7","","","","","","",""
"U1","1","NRF52840-QIAA-R","Nordic Semiconductor ASA","Microcontroller, 73-VFQFN","","","",""
"U2","1","SX1262IMLTRT","",", QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","","","","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm"
"U3","1","AP2112K-3.3TRG1","https://www.diodes.com/assets/Datasheets/AP2112.pdf","Integrated Circuit, SOT-25","","","",""
"U4","1","MCP73831T-2ACI/OT","Microchip Technology","Integrated Circuit, SOT-23-5","","","",""
"U5","1","LTC4412MPS6#TRPBF","ADI(亚德诺)",", SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","","","","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL"
"U6","1","DRV2605LDGSR","Texas Instruments","Integrated Circuit","","","",""
"U7,U8","2","LIS2DH12TR","ST(意法半导体)","Motion Sensors - Accelerometers, LGA-12_L2.0-W2.0-P0.50-BL","","","","LGA-12_L2.0-W2.0-P0.50-BL"
"Y1","1","NX2016SA-32MHZ-EXS00A-CS06654","","Oscillator, NX2016SA_NDK","","","","NX2016SA_NDK"
"Y2","1","ABS07-32.768KHZ-T","Abracon LLC","Oscillator, 2-SMD","","","",""
"Y3","1","X1G0042110003","EPSON(爱普生)","Temperature Compensated Crystal Oscillators (TCXO), OSC-SMD_4P-L2.5-W2.0-BL_7L-XXXXXXX","","","","OSC-SMD_4P-L2.5-W2.0-BL_7L-XXXXXXX"
