Comment,Designator,Footprint,JLCPCB Part #,LCSC Part #
"Non-Polarized Capacitor 10uF SMD_0805_2012Metric","C1, C15, C19, C2, C3, C4","","",""
"Non-Polarized Capacitor 4.7uF SMD_1206_3216Metric","C10, C9","","",""
"Non-Polarized Capacitor 18pF SMD_0402_1005Metric","C11, C12","","",""
"Non-Polarized Capacitor 12.5pF SMD_0402_1005Metric","C13, C14","","",""
"Non-Polarized Capacitor 100nF SMD_0402_1005Metric","C16, C18, C20, C21, C22, C5, C6, C7, C8","","",""
"Non-Polarized Capacitor 2.2pF SMD_0402_1005Metric","C17","","",""
"USBLC6-2P6","D1","SOT-666","",""
"SS14","D2","","",""
"1N4148W-E3-18","D3","SOD-123_L2.7-W1.6-LS3.7-FD","","C191428"
"USB4105-GF-A","J1","","",""
"B2B-PH-K-S(LF)(SN)","J2","","",""
"U.FL-R-SMT-1(10)","J3","","",""
"20021121-00006C4LF","J4","HDR-SMD_6P-P1.27-V-M-R2-C3-S1.27-LS5.5","","C178291"
"640456-8","J5","SHDR8W66P0X254_1X8_2032X572X1024P","",""
"2.54-2P-LT","J6","CONN-SMD_2P-P2.50_A2502AWV-02-F1CA-R-X","","C722697"
"Inductor 4.7nH SMD_MAPI-4020","L1","","",""
"LED","LED1, LED2","","",""
"MLT-5020","LS1","","","C94598"
"MMBT3904TT1G","Q1","SC-75-3_L1.6-W0.8-P1.00-LS1.6-BR","","C242260"
"Resistor 2kΩ SMD_0603_1608Metric","R1","","",""
"Resistor 5.1kΩ SMD_0603_1608Metric","R6, R7","","",""
"Resistor 0Ω SMD_0603_1608Metric","R10, R9","","",""
"Resistor 1kΩ SMD_0603_1608Metric","R11, R12, R17, R2, R3","","",""
"Resistor 10kΩ SMD_0603_1608Metric","R13, R16, R4, R5, R8","","",""
"Resistor 4.7kΩ SMD_0603_1608Metric","R14, R15","","",""
"B3FS-1050P","SW1","","",""
"","TP1, TP2, TP3, TP4, TP5, TP6, TP7","","",""
"NRF52840-QIAA-R","U1","","",""
"SX1262IMLTRT","U2","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","",""
"AP2112K-3.3TRG1","U3","","",""
"MCP73831T-2ACI/OT","U4","","",""
"LTC4412MPS6#TRPBF","U5","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","","C688483"
"DRV2605LDGSR","U6","","",""
"LIS2DH12TR","U7, U8","LGA-12_L2.0-W2.0-P0.50-BL","","C110926"
"NX2016SA-32MHZ-EXS00A-CS06654","Y1","NX2016SA_NDK","",""
"ABS07-32.768KHZ-T","Y2","","",""
"X1G0042110003","Y3","OSC-SMD_4P-L2.5-W2.0-BL_7L-XXXXXXX","","C3013793"
